City,Month,Hour,GHI,Temperature,Humidity
Islamabad,12,10,382.72544802867384,14.638351254480286,48.10322580645161
Islamabad,12,11,444.2453405017921,16.56164874551971,41.81720430107527
Islamabad,12,12,462.8195340501792,17.75752688172043,37.967025089605734
Islamabad,12,13,432.9001792114695,18.60089605734767,35.17311827956989
Islamabad,12,14,332.05806451612904,18.92383512544803,34.07311827956989
Islamabad,12,15,192.6879928315412,18.58225806451613,34.70591397849463
Islamabad,12,16,57.07365591397849,17.304121863799285,37.875089605734765
Islamabad,12,17,0.4575268817204301,15.193727598566309,43.19247311827957
Islamabad,12,18,0.0,14.05304659498208,46.424731182795696
Islamabad,12,19,0.0,13.18673835125448,49.1983870967742
Islamabad,12,20,0.003763440860215054,12.150537634408602,53.10197132616488
Islamabad,12,21,0.0025089605734767025,11.438351254480287,56.351075268817205
Islamabad,12,22,0.004301075268817204,10.702867383512544,59.53189964157706
Islamabad,12,23,0.001075268817204301,10.019713261648745,62.61039426523297
Karachi,1,0,0.0,18.260215053763442,67.53360215053763
Karachi,1,1,0.0,17.6997311827957,68.52069892473118
Karachi,1,2,0.001075268817204301,17.2752688172043,68.40860215053763
Karachi,1,3,0.0008064516129032258,16.84220430107527,68.39032258064516
Karachi,1,4,0.0,16.323118279569893,69.04731182795699
Karachi,1,5,0.0,15.936827956989248,69.5513440860215
Karachi,1,6,0.0,15.525537634408602,70.2241935483871
Karachi,1,7,10.593817204301075,15.264247311827958,70.36827956989248
Karachi,1,8,123.36559139784946,16.351881720430107,66.60752688172043
Karachi,1,9,301.3206989247312,18.57768817204301,60.10752688172043
Karachi,1,10,460.18387096774194,20.68010752688172,54.12284946236559
Karachi,1,11,564.139247311828,22.254301075268817,49.48951612903225
Karachi,1,12,617.3524193548387,23.490591397849464,46.08924731182796
Karachi,1,13,608.6951612903226,24.353494623655912,43.83387096774194
Karachi,1,14,516.005376344086,24.90510752688172,42.391397849462365
Karachi,1,15,386.05322580645156,24.934408602150537,42.73494623655914
Karachi,1,16,234.37661290322583,24.497580645161293,44.62715053763441
Karachi,1,17,74.18548387096774,23.348118279569892,48.505913978494625
Karachi,1,18,1.9991935483870968,22.013709677419357,53.44220430107527
Karachi,1,19,0.0,21.185752688172045,58.120161290322585
Karachi,1,20,0.0,20.599999999999998,61.3744623655914
Karachi,1,21,0.0,20.05456989247312,63.85672043010753
Karachi,1,22,0.0,19.480645161290322,65.22715053763442
Karachi,1,23,0.0,18.843548387096774,66.73575268817204
Karachi,2,0,0.0,20.54122807017544,52.39590643274854
Karachi,2,1,0.0,19.924561403508772,53.61900584795322
Karachi,2,2,0.0,19.339181286549707,54.100584795321645
Karachi,2,3,0.0,18.8906432748538,53.8608187134503
Karachi,2,4,0.0,18.341812865497076,53.463157894736845
Karachi,2,5,0.0,17.964327485380117,53.81666666666666
Karachi,2,6,0.0,17.58187134502924,54.15906432748538
Karachi,2,7,28.563157894736843,17.384795321637426,53.675438596491226
Karachi,2,8,194.2081871345029,19.035380116959065,49.308479532163744
Karachi,2,9,405.18157894736845,21.640350877192983,42.61257309941521
Karachi,2,10,587.7728070175439,23.992690058479532,36.314912280701755
Karachi,2,11,719.5649122807018,25.916959064327486,30.465789473684207
Karachi,2,12,772.6561403508773,27.35292397660819,26.141812865497077
Karachi,2,13,763.2754385964913,28.348538011695908,23.716959064327487
Karachi,2,14,683.3058479532164,28.75847953216374,22.966959064327487
Karachi,2,15,531.2476608187135,28.527485380116957,24.794736842105262
Karachi,2,16,347.11286549707603,27.92923976608187,26.7593567251462
Karachi,2,17,144.93713450292398,26.889181286549707,29.81286549707602
Karachi,2,18,13.97953216374269,25.247660818713452,34.62719298245614
Karachi,2,19,0.0,24.141520467836255,38.7780701754386
Karachi,2,20,0.0,23.31988304093567,41.69298245614035
Karachi,2,21,0.0,22.614035087719298,44.72485380116959
Karachi,2,22,0.0,21.896491228070175,46.977192982456145
Karachi,2,23,0.0,21.296783625730995,49.93654970760234
Karachi,3,0,0.0,24.035752688172042,70.05483870967743
Karachi,3,1,0.0,23.715860215053763,72.74650537634409
Karachi,3,2,0.0,23.38978494623656,74.18091397849462
Karachi,3,3,0.0,23.087634408602153,75.69784946236558
Karachi,3,4,0.0,22.75,76.70833333333333
